comp_name	index	attr_name	attr_type	note
Ambulance	1	m_PatientCapacity	System.Int32	
AnimalPrefab	0			
AnimalPrefab	1	m_MoveSpeed	System.Single	
AnimalPrefab	2	m_Acceleration	System.Single	
AnimalPrefab	3	m_Gender	Game.Prefabs.GenderMask	
AnimalPrefab	4	m_Meshes	Game.Prefabs.ObjectMeshInfo[]	
AnimalPrefab	5	m_Circular	System.Boolean	
AreasConfigurationPrefab	0			
AreasConfigurationPrefab	1	m_DefaultDistrictPrefab	Game.Prefabs.AreaPrefab	
AreasConfigurationPrefab	2	m_RenderedAreaMaterial	UnityEngine.Material	
AreasConfigurationPrefab	3	m_BuildableLandMaxSlope	Colossal.Mathematics.Bounds1	~Maximum slope that is considered buildable land, for display in the map selection screen.
Min and below: Fully buildable, Max and above: Not buildable~
AreaSubObjects	0			
AreaSubObjects	1	m_SubObjects	Game.Prefabs.AreaSubObjectInfo[]	
AreaTypePrefab	0			
AreaTypePrefab	1	m_Type	Game.Areas.AreaType	
AreaTypePrefab	2	m_Material	UnityEngine.Material	
AreaTypePrefab	3	m_NameMaterial	UnityEngine.Material	
AssetPackItem	0			
AssetPackItem	1	m_Packs	Game.Prefabs.AssetPackPrefab[]	
AssetPackPrefab	0			
AssetStampPrefab	0			
AssetStampPrefab	1	m_Width	System.Int32	
AssetStampPrefab	2	m_Depth	System.Int32	
AssetStampPrefab	3	m_ConstructionCost	System.UInt32	
AssetStampPrefab	4	m_UpKeepCost	System.UInt32	
AsymmetricPieceMesh	0			
AsymmetricPieceMesh	1	m_Sideways	System.Boolean	
AsymmetricPieceMesh	2	m_Lengthwise	System.Boolean	
AtmosphereProperties	0			
AtmosphereProperties	1	m_AuroraBorealisEmissionMultiplier	UnityEngine.Rendering.MinFloatParameter	
AtmosphereProperties	2	m_AuroraBorealisSpeedMultiplier	UnityEngine.Rendering.MinFloatParameter	
AtmosphereProperties	3	m_InterpolationMode	Game.Prefabs.Climate.OverrideablePropertiesComponent+InterpolationMode	
AtmosphereProperties	4	m_InterpolationTime	System.Single	
AttachedObject	0			
AttachedObject	1	m_AttachType	Game.Prefabs.AttachedObjectType	
AttachedObject	2	m_AttachOffset	System.Single	
Attraction	0			
Attraction	1	m_Attractiveness	System.Int32	
AttractivenessParametersPrefab	0			
AttractivenessParametersPrefab	1	m_ForestEffect	System.Single	
AttractivenessParametersPrefab	2	m_ForestDistance	System.Single	
AttractivenessParametersPrefab	3	m_ShoreEffect	System.Single	
AttractivenessParametersPrefab	4	m_ShoreDistance	System.Single	
AttractivenessParametersPrefab	5	m_HeightBonus	Unity.Mathematics.float3	zero level in m, effect % per m, max effect %
AttractivenessParametersPrefab	6	m_AttractiveTemperature	Unity.Mathematics.float2	Temperature that attract more tourists, between x and y, reach max effect when it's the middle of the temperature range
AttractivenessParametersPrefab	7	m_ExtremeTemperature	Unity.Mathematics.float2	Extreme temperature that reduce the tourism, below x or above y, reach max effect when there are 10 degree difference
AttractivenessParametersPrefab	8	m_RainEffectRange	Unity.Mathematics.float2	Rain that affect tourism, precipitation x: start of punishment, y:max punishment to m_SnowRainExtremeAffect.y
AttractivenessParametersPrefab	9	m_SnowEffectRange	Unity.Mathematics.float2	Snow that affect tourism, precipitation x: start of positive effect, y:max effect to m_SnowRainExtremeAffect.x
AttractivenessParametersPrefab	10	m_TemperatureAffect	Unity.Mathematics.float2	x:the attractiveness added to current when temperature inside of AttractiveTemperature, y:the attractiveness reduced from current when temperature inside of ExtremeTemperature
AttractivenessParametersPrefab	11	m_SnowRainExtremeAffect	Unity.Mathematics.float3	x:snowing weather affect, y:raining weather affect, z:extreme weather like storm,hail
AudioGroupingMiscSettings	0			
AudioGroupingMiscSettings	1	m_ForestFireDistance	System.Single	
AudioGroupingSettingsPrefab	0			
AudioGroupingSettingsPrefab	1	m_Settings	Game.Prefabs.AudioGroupSettings[]	
AudioRandomize	0			
AudioRandomize	1	m_SFXes	Game.Prefabs.EffectPrefab[]	
AudioSettingsPrefab	0			
AudioSettingsPrefab	1	m_Effects	Game.Prefabs.EffectPrefab[]	
AudioSettingsPrefab	2	m_MinHeight	System.Single	
AudioSettingsPrefab	3	m_MaxHeight	System.Single	
AudioSettingsPrefab	4	m_OverlapRatio	System.Single	
AudioSettingsPrefab	5	m_MinDistanceRatio	System.Single	
AudioSettingsPrefab	6	m_FireCullMaxAmount	System.Int32	
AudioSettingsPrefab	7	m_FireCullMaxDistance	System.Single	
AudioSettingsPrefab	8	m_CarEngineCullMaxAmount	System.Int32	
AudioSettingsPrefab	9	m_CarEngineCullMaxDistance	System.Single	
AudioSettingsPrefab	10	m_PublicTransCullMaxAmount	System.Int32	
AudioSettingsPrefab	11	m_PublicTransCullMaxDistance	System.Single	
AudioSpot	0			
AudioSpot	1	m_SFXes	Game.Prefabs.EffectPrefab[]	
AudioSpot	2	m_MinimumInterval	System.Single	
AudioSpot	3	m_MaximumInterval	System.Single	
AuxiliaryLanes	0			
AuxiliaryLanes	1	m_AuxiliaryLanes	Game.Prefabs.AuxiliaryLaneInfo[]	
AuxiliaryNets	0			
AuxiliaryNets	1	m_LinkEndOffsets	System.Boolean	
AuxiliaryNets	2	m_AuxiliaryNets	Game.Prefabs.AuxiliaryNetInfo[]	
BaseProperties	0			
BaseProperties	1	m_BaseType	Game.Prefabs.RenderPrefab	
BaseProperties	2	m_UseMinBounds	System.Boolean	
Battery	0			
Battery	1	m_PowerOutput	System.Int32	
Battery	2	m_Capacity	System.Int32	
BicyclePrefab	0			
BicyclePrefab	1	m_MaxSpeed	System.Single	
BicyclePrefab	2	m_Acceleration	System.Single	
BicyclePrefab	3	m_Braking	System.Single	
BicyclePrefab	4	m_Turning	Unity.Mathematics.float2	
BicyclePrefab	5	m_Stiffness	System.Single	
BicyclePrefab	6	m_Meshes	Game.Prefabs.ObjectMeshInfo[]	
BicyclePrefab	7	m_Circular	System.Boolean	
BrandChirpPrefab	0			
BrandObject	0			
BrandObject	1	m_Brand	Game.Prefabs.BrandPrefab	
BrandPrefab	0			
BrandPrefab	1	m_Companies	Game.Prefabs.CompanyPrefab[]	
BrandPrefab	2	m_BrandColors	UnityEngine.Color[]	
Bridge	0			
Bridge	1	m_SegmentLength	System.Single	
Bridge	2	m_Hanging	System.Single	
Bridge	3	m_ElevationOnWater	System.Single	
Bridge	4	m_CanCurve	System.Boolean	
Bridge	5	m_AllowMinimalLength	System.Boolean	
Bridge	6	m_WaterFlow	Game.Prefabs.BridgeWaterFlow	
Bridge	7	m_BuildStyle	Game.Prefabs.BridgeBuildStyle	
Bridge	8	m_FixedSegments	Game.Prefabs.FixedNetSegmentInfo[]	
BrushPrefab	0			
BrushPrefab	1	m_Texture	UnityEngine.Texture2D	
BrushPrefab	2	m_Priority	System.Int32	
BuildableNetPiece	0			
BuildableNetPiece	1	m_Position	Unity.Mathematics.float3	
BuildableNetPiece	2	m_Width	System.Single	
BuildableNetPiece	3	m_SnapPosition	Unity.Mathematics.float3	
BuildableNetPiece	4	m_SnapWidth	System.Single	
BuildableNetPiece	5	m_AllowOnBridge	System.Boolean	
BuildingConfigurationPrefab	0			
BuildingConfigurationPrefab	1	m_BuildingConditionIncrement	Unity.Mathematics.int3	The building condition increase when building received enough upkeep cost, change 16 times per game day, x-residential, y-commercial, z-industrial
BuildingConfigurationPrefab	2	m_BuildingConditionDecrement	System.Int32	The building condition decrease when building can't pay enough upkeep cost, change 16 times per game day
BuildingConfigurationPrefab	3	m_AbandonedBuildingLocalEffects	Game.Prefabs.LocalEffectsPrefab	
BuildingConfigurationPrefab	4	m_AbandonedCollapsedBuildingLocalEffects	Game.Prefabs.LocalEffectsPrefab	
BuildingConfigurationPrefab	5	m_AbandonedCollapsedNotification	Game.Prefabs.NotificationIconPrefab	
BuildingConfigurationPrefab	6	m_AbandonedNotification	Game.Prefabs.NotificationIconPrefab	
BuildingConfigurationPrefab	7	m_CondemnedNotification	Game.Prefabs.NotificationIconPrefab	
BuildingConfigurationPrefab	8	m_LevelUpNotification	Game.Prefabs.NotificationIconPrefab	
BuildingConfigurationPrefab	9	m_TurnedOffNotification	Game.Prefabs.NotificationIconPrefab	
BuildingConfigurationPrefab	10	m_ElectricityConnectionLane	Game.Prefabs.NetLanePrefab	
BuildingConfigurationPrefab	11	m_SewageConnectionLane	Game.Prefabs.NetLanePrefab	
BuildingConfigurationPrefab	12	m_WaterConnectionLane	Game.Prefabs.NetLanePrefab	
BuildingConfigurationPrefab	13	m_AbandonedDestroyDelay	System.UInt32	
BuildingConfigurationPrefab	14	m_HighRentNotification	Game.Prefabs.NotificationIconPrefab	
BuildingConfigurationPrefab	15	m_DefaultRenterBrand	Game.Prefabs.BrandPrefab	
BuildingConfigurationPrefab	16	m_ConstructionSurface	Game.Prefabs.AreaPrefab	
BuildingConfigurationPrefab	17	m_ConstructionBorder	Game.Prefabs.NetLanePrefab	
BuildingConfigurationPrefab	18	m_ConstructionObject	Game.Prefabs.ObjectPrefab	
BuildingConfigurationPrefab	19	m_CollapsedObject	Game.Prefabs.ObjectPrefab	
BuildingConfigurationPrefab	20	m_CollapseVFX	Game.Prefabs.EffectPrefab	
BuildingConfigurationPrefab	21	m_CollapseSFX	Game.Prefabs.EffectPrefab	
BuildingConfigurationPrefab	22	m_CollapseSFXDensity	System.Single	
BuildingConfigurationPrefab	23	m_CollapsedSurface	Game.Prefabs.AreaPrefab	
BuildingConfigurationPrefab	24	m_FireLoopSFX	Game.Prefabs.EffectPrefab	
BuildingConfigurationPrefab	25	m_FireSpotSFX	Game.Prefabs.EffectPrefab	
BuildingConfigurationPrefab	26	m_LevelUpResources	Game.Prefabs.LevelUpResource[]	
BuildingConfigurationPrefab	27	m_LevelingBuildingNotificationPrefab	Game.Prefabs.NotificationIconPrefab	
BuildingEfficiency	0			
BuildingEfficiencyParametersPrefab	0			
BuildingEfficiencyParametersPrefab	1	m_ServiceBudgetEfficiencyFactor	UnityEngine.AnimationCurve	How the service budget (between 0.5 and 1.5) correlates the service budget efficiency factor
BuildingEfficiencyParametersPrefab	2	m_LowEfficiencyThreshold	System.Single	If the building efficiency drops below this threshold, the 'low efficiency' flag is applied, which disables certain vfx/sfx
BuildingEfficiencyParametersPrefab	3	m_ElectricityPenalty	System.Single	Efficiency penalty when not enough electricity is supplied
BuildingEfficiencyParametersPrefab	4	m_ElectricityPenaltyDelay	System.Int16	~Interval in ticks until no electricity efficiency penalty is fully applied. One tick equals ~~1.42 ingame minutes.~
BuildingEfficiencyParametersPrefab	5	m_ElectricityFeeFactor	UnityEngine.AnimationCurve	Defines how the electricity fee efficiency factor correlates to the electricity fee (0-200%)
BuildingEfficiencyParametersPrefab	6	m_WaterPenalty	System.Single	Efficiency penalty when not enough water is supplied
BuildingEfficiencyParametersPrefab	7	m_WaterPenaltyDelay	System.Byte	~Delay in ticks until no water efficiency penalty is fully applied. One tick equals ~~1.42 ingame minutes.~
BuildingEfficiencyParametersPrefab	8	m_WaterPollutionPenalty	System.Single	Efficiency penalty when supplied fresh water is dirty
BuildingEfficiencyParametersPrefab	9	m_SewagePenalty	System.Single	Efficiency penalty when sewage is not handled
BuildingEfficiencyParametersPrefab	10	m_SewagePenaltyDelay	System.Byte	~Delay in ticks until no sewage efficiency penalty is fully applied. One tick equals ~~1.42 ingame minutes.~
BuildingEfficiencyParametersPrefab	11	m_WaterFeeFactor	UnityEngine.AnimationCurve	Defines how the water fee efficiency factor correlates to the water fee (0-200%)
BuildingEfficiencyParametersPrefab	12	m_GarbagePenalty	System.Single	Efficiency penalty when garbage has accumulated
BuildingEfficiencyParametersPrefab	13	m_NegligibleMail	System.Int32	Amount of mail that is tolerated by the building before efficiency drops
BuildingEfficiencyParametersPrefab	14	m_MailEfficiencyPenalty	System.Single	Efficiency penalty when too much mail is accumulated
BuildingEfficiencyParametersPrefab	15	m_TelecomBaseline	System.Single	Minimum telecom network quality required before telecom efficiency penalty is applied
BuildingEfficiencyParametersPrefab	16	m_MissingEmployeesEfficiencyPenalty	System.Single	Efficiency penalty when the building has no employees (scales proportionally)
BuildingEfficiencyParametersPrefab	17	m_MissingEmployeesEfficiencyDelay	System.Int16	Delay in ticks until 'not enough employees' penalty is fully applied (512 ticks per day)
BuildingEfficiencyParametersPrefab	18	m_ServiceBuildingEfficiencyGracePeriod	System.Int16	Extra grace period in ticks for service buildings before 'not enough employees' efficiency starts dropping (512 ticks per day)
BuildingEfficiencyParametersPrefab	19	m_SickEmployeesEfficiencyPenalty	System.Single	Efficiency penalty when all employees are sick (scales proportionally)
BuildingExtensionPrefab	0			
BuildingExtensionPrefab	1	m_ExternalLot	System.Boolean	
BuildingExtensionPrefab	2	m_Position	Unity.Mathematics.float3	
BuildingExtensionPrefab	3	m_OverrideLotSize	Unity.Mathematics.int2	
BuildingExtensionPrefab	4	m_OverrideHeight	System.Single	
BuildingExtensionPrefab	5	m_Meshes	Game.Prefabs.ObjectMeshInfo[]	
BuildingExtensionPrefab	6	m_Circular	System.Boolean	
BuildingInfomodePrefab	0			
BuildingInfomodePrefab	1	m_Type	Game.Prefabs.BuildingType	
BuildingInfomodePrefab	2	m_Color	UnityEngine.Color	
BuildingInfomodePrefab	3	m_IncludeInGroups	Game.Prefabs.InfomodeGroupPrefab[]	
BuildingInfomodePrefab	4	m_Priority	System.Int32	
BuildingInfomodePrefab	5	editor	System.Boolean	
BuildingMarker	0			
BuildingMarker	1	m_BuildingType	Game.Prefabs.BuildingType	
BuildingModifiers	0			
BuildingModifiers	1	m_Modifiers	Game.Prefabs.BuildingModifierInfo[]	
BuildingModules	0			
BuildingModules	1	m_Modules	Game.Prefabs.PrefabBase[]	
BuildingOptions	0			
BuildingOptions	1	m_Options	Game.Buildings.BuildingOption[]	
BuildingPrefab	0			
BuildingPrefab	1	m_AccessType	Game.Prefabs.BuildingAccessType	
BuildingPrefab	2	m_LotWidth	System.Int32	
BuildingPrefab	3	m_LotDepth	System.Int32	
BuildingPrefab	4	m_Meshes	Game.Prefabs.ObjectMeshInfo[]	
BuildingPrefab	5	m_Circular	System.Boolean	
BuildingProperties	0			
BuildingProperties	1	m_ResidentialProperties	System.Int32	Having this component OVERRIDES the Apartment amount calculation which would otherwise come from Zone Prefab (Zone Properties component). Inserting value here will define the maximum amount of Apartments this building can have.
BuildingProperties	2	m_AllowedSold	Game.Economy.ResourceInEditor[]	Having this component OVERRIDES the value that would come from the Zone Prefab Zone Properties component. The listed resources can be sold by the property.
BuildingProperties	3	m_AllowedInput	Game.Economy.ResourceInEditor[]	Having this component OVERRIDES the value that would come from the Zone Prefab Zone Properties component. The listed resources can be used by the property. Can be left empty.
BuildingProperties	4	m_AllowedManufactured	Game.Economy.ResourceInEditor[]	Having this component OVERRIDES the value that would come from the Zone Prefab Zone Properties component. The listed resources can be manufactured by the property.
BuildingProperties	5	m_AllowedStored	Game.Economy.ResourceInEditor[]	Having this component OVERRIDES the value that would come from the Zone Prefab Zone Properties component. The listed resources can be stored by the property.
BuildingProperties	6	m_SpaceMultiplier	System.Single	Having this component OVERRIDES the value that would come from the Zone Prefab Zone Properties component. Space Multiplier represents the abstraction of amount of floors in a building. If the value on Space Multiplier is high the Apartments will be bigger. Does not affect how many Apartments are in a building. If value of Residential Properties is higher than Space Multiplier, then the zone type will be High Density, otherwise it will be Medium Density.
BuildingStateInfomodePrefab	0			
BuildingStateInfomodePrefab	1	m_Type	Game.Prefabs.BuildingStatusType	
BuildingStateInfomodePrefab	2	m_Color	UnityEngine.Color	
BuildingStateInfomodePrefab	3	m_IncludeInGroups	Game.Prefabs.InfomodeGroupPrefab[]	
BuildingStateInfomodePrefab	4	m_Priority	System.Int32	
BuildingStateInfomodePrefab	5	editor	System.Boolean	
BuildingStatusInfomodePrefab	0			
BuildingStatusInfomodePrefab	1	m_Type	Game.Prefabs.BuildingStatusType	
BuildingStatusInfomodePrefab	2	m_Range	Colossal.Mathematics.Bounds1	
BuildingStatusInfomodePrefab	3	m_Low	UnityEngine.Color	
BuildingStatusInfomodePrefab	4	m_Medium	UnityEngine.Color	
BuildingStatusInfomodePrefab	5	m_High	UnityEngine.Color	
BuildingStatusInfomodePrefab	6	m_Steps	System.Int32	
BuildingStatusInfomodePrefab	7	m_LegendType	Game.Prefabs.GradientLegendType	
BuildingStatusInfomodePrefab	8	m_LowLabelId	System.String	Good, Bad, Low, High, Weak, Strong, Old, Young
BuildingStatusInfomodePrefab	9	m_MediumLabelId	System.String	
BuildingStatusInfomodePrefab	10	m_HighLabelId	System.String	Good, Bad, Low, High, Weak, Strong, Old, Young
BuildingStatusInfomodePrefab	11	m_IncludeInGroups	Game.Prefabs.InfomodeGroupPrefab[]	
BuildingStatusInfomodePrefab	12	m_Priority	System.Int32	
BuildingStatusInfomodePrefab	13	editor	System.Boolean	
BuildingTerraformOverride	0			
BuildingTerraformOverride	1	m_LevelMinOffset	Unity.Mathematics.float2	
BuildingTerraformOverride	2	m_LevelMaxOffset	Unity.Mathematics.float2	
BuildingTerraformOverride	3	m_LevelFrontLeft	Unity.Mathematics.float2	
BuildingTerraformOverride	4	m_LevelFrontRight	Unity.Mathematics.float2	
BuildingTerraformOverride	5	m_LevelBackLeft	Unity.Mathematics.float2	
BuildingTerraformOverride	6	m_LevelBackRight	Unity.Mathematics.float2	
BuildingTerraformOverride	7	m_SmoothMinOffset	Unity.Mathematics.float2	
BuildingTerraformOverride	8	m_SmoothMaxOffset	Unity.Mathematics.float2	
BuildingTerraformOverride	9	m_HeightOffset	System.Single	
BuildingTerraformOverride	10	m_AdditionalSmoothAreas	Game.Prefabs.BuildingTerraformOverride+SubLot[]	
BuildingTerraformOverride	11	m_DontRaise	System.Boolean	
BuildingTerraformOverride	12	m_DontLower	System.Boolean	
BulldozePrefab	0			
CalendarEvent	0			
CalendarEvent	1	m_RandomTargetType	Game.Prefabs.EventTargetType	
CalendarEvent	2	m_AffectedProbability	Colossal.Mathematics.Bounds1	
CalendarEvent	3	m_OccurenceProbability	Colossal.Mathematics.Bounds1	
CalendarEvent	4	m_AllowedMonths	Game.Prefabs.CalendarEventMonths	
CalendarEvent	5	m_AllowedTimes	Game.Prefabs.CalendarEventTimes	
CalendarEvent	6	m_Duration	System.Int32	In fourths of a day
CargoTransport	0			
CargoTransport	1	m_CargoCapacity	System.Int32	
CargoTransport	2	m_MaxResourceCount	System.Int32	
CargoTransport	3	m_MaintenanceRange	System.Single	
CargoTransport	4	m_TransportedResources	Game.Economy.ResourceInEditor[]	
CargoTransportStation	0			
CargoTransportStation	1	m_TradedResources	Game.Economy.ResourceInEditor[]	
CargoTransportStation	2	transports	System.Int32	
CargoTransportStation	3	m_CarRefuelTypes	Game.Vehicles.EnergyTypes	
CargoTransportStation	4	m_TrainRefuelTypes	Game.Vehicles.EnergyTypes	
CargoTransportStation	5	m_WatercraftRefuelTypes	Game.Vehicles.EnergyTypes	
CargoTransportStation	6	m_AircraftRefuelTypes	Game.Vehicles.EnergyTypes	
CargoTransportStation	7	m_LoadingFactor	System.Single	
CargoTransportStation	8	m_WorkMultiplier	System.Single	
CargoTransportStation	9	m_TransportInterval	Unity.Mathematics.int2	
CarLane	0			
CarLane	1	m_NotTrackLane	Game.Prefabs.NetLanePrefab	
CarLane	2	m_NotBusLane	Game.Prefabs.NetLanePrefab	
CarLane	3	m_RoadType	Game.Net.RoadTypes	
CarLane	4	m_MaxSize	Game.Vehicles.SizeClass	
CarLane	5	m_Width	System.Single	
CarLane	6	m_StartingLane	System.Boolean	
CarLane	7	m_EndingLane	System.Boolean	
CarLane	8	m_Twoway	System.Boolean	
CarLane	9	m_BusLane	System.Boolean	
CarPathfind	0			
CarPathfind	1	m_DrivingCost	Game.Prefabs.PathfindCostInfo	
CarPathfind	2	m_TurningCost	Game.Prefabs.PathfindCostInfo	
CarPathfind	3	m_UTurnCost	Game.Prefabs.PathfindCostInfo	
CarPathfind	4	m_UnsafeUTurnCost	Game.Prefabs.PathfindCostInfo	
CarPathfind	5	m_CurveAngleCost	Game.Prefabs.PathfindCostInfo	
CarPathfind	6	m_LaneCrossCost	Game.Prefabs.PathfindCostInfo	
CarPathfind	7	m_ParkingCost	Game.Prefabs.PathfindCostInfo	
CarPathfind	8	m_SpawnCost	Game.Prefabs.PathfindCostInfo	
CarPathfind	9	m_ForbiddenCost	Game.Prefabs.PathfindCostInfo	
CarPrefab	0			
CarPrefab	1	m_SizeClass	Game.Vehicles.SizeClass	
CarPrefab	2	m_EnergyType	Game.Vehicles.EnergyTypes	
CarPrefab	3	m_MaxSpeed	System.Single	
CarPrefab	4	m_Acceleration	System.Single	
CarPrefab	5	m_Braking	System.Single	
CarPrefab	6	m_Turning	Unity.Mathematics.float2	
CarPrefab	7	m_Stiffness	System.Single	
CarPrefab	8	m_Meshes	Game.Prefabs.ObjectMeshInfo[]	
CarPrefab	9	m_Circular	System.Boolean	
CarTractor	0			
CarTractor	1	m_TrailerType	Game.Prefabs.CarTrailerType	
CarTractor	2	m_AttachOffset	Unity.Mathematics.float3	
CarTractor	3	m_FixedTrailer	Game.Prefabs.CarTrailerPrefab	
CarTrailerPrefab	0			
CarTrailerPrefab	1	m_TrailerType	Game.Prefabs.CarTrailerType	
CarTrailerPrefab	2	m_MovementType	Game.Prefabs.TrailerMovementType	
CarTrailerPrefab	3	m_AttachOffset	Unity.Mathematics.float3	
CarTrailerPrefab	4	m_FixedTractor	Game.Prefabs.CarBasePrefab	
CarTrailerPrefab	5	m_SizeClass	Game.Vehicles.SizeClass	
CarTrailerPrefab	6	m_EnergyType	Game.Vehicles.EnergyTypes	
CarTrailerPrefab	7	m_MaxSpeed	System.Single	
CarTrailerPrefab	8	m_Acceleration	System.Single	
CarTrailerPrefab	9	m_Braking	System.Single	
CarTrailerPrefab	10	m_Turning	Unity.Mathematics.float2	
CarTrailerPrefab	11	m_Stiffness	System.Single	
CarTrailerPrefab	12	m_Meshes	Game.Prefabs.ObjectMeshInfo[]	
CarTrailerPrefab	13	m_Circular	System.Boolean	
CharacterGroup	0			
CharacterGroup	1	m_Characters	Game.Prefabs.CharacterGroup+Character[]	
CharacterGroup	2	m_Overrides	Game.Prefabs.CharacterGroup+OverrideInfo[]	
CharacterOverlay	0			
CharacterOverlay	1	m_Index	System.Int32	
CharacterOverlay	2	m_SortOrder	System.Int32	
CharacterOverlay	3	m_sourceRegion	UnityEngine.Rect	
CharacterOverlay	4	m_targetRegion	UnityEngine.Rect	
CharacterProperties	0			
CharacterProperties	1	m_BodyParts	Game.Prefabs.CharacterProperties+BodyPart	
CharacterProperties	2	m_CorrectiveAnimationName	System.String	
CharacterProperties	3	m_AnimatedPropName	System.String	
CharacterProperties	4	m_Overlays	Game.Prefabs.CharacterOverlay[]	
CharacterStyle	0			
CharacterStyle	1	m_ShapeCount	System.Int32	
CharacterStyle	2	m_BoneCount	System.Int32	
CharacterStyle	3	m_Gender	Game.Prefabs.GenderMask	
CharacterStyle	4	m_Animations	Game.Prefabs.CharacterStyle+AnimationInfo[]	
Chirp	0			
Chirp	1	m_Chirps	Game.Prefabs.PrefabBase[]	When the trigger happens, one of these chirps will be selected randomly
ChirperAccount	0			
ChirperAccount	1	m_InfoView	Game.Prefabs.InfoviewPrefab	
ChirpPrefab	0			
CitizenChirpPrefab	0			
CitizenHappinessParameterMode	0			
CitizenHappinessParameterMode	1	m_PollutionBonusDivisor	System.Int32	
CitizenHappinessParameterMode	2	m_MaxAirAndGroundPollutionBonus	System.Int32	
CitizenHappinessParameterMode	3	m_MaxNoisePollutionBonus	System.Int32	
CitizenHappinessParameterMode	4	m_ElectricityWellbeingPenaltyMultiplier	System.Single	
CitizenHappinessParameterMode	5	m_ElectricityPenaltyDelayMultiplier	System.Byte	
CitizenHappinessParameterMode	6	m_ElectricityFeeWellbeingEffect	UnityEngine.AnimationCurve	
CitizenHappinessParameterMode	7	m_WaterHealthPenaltyMultiplier	System.Int32	
CitizenHappinessParameterMode	8	m_WaterWellbeingPenaltyMultiplier	System.Int32	
CitizenHappinessParameterMode	9	m_WaterPenaltyDelayMultiplier	System.Byte	
CitizenHappinessParameterMode	10	m_WaterPollutionMultiplierOverriden	System.Single	
CitizenHappinessParameterMode	11	m_SewageHealthEffectMultiplier	System.Int32	
CitizenHappinessParameterMode	12	m_SewageWellbeingEffectMultiplier	System.Int32	
CitizenHappinessParameterMode	13	m_SewagePenaltyDelayMultiplier	System.Byte	
CitizenHappinessParameterMode	14	m_WaterFeeHealthEffect	UnityEngine.AnimationCurve	
CitizenHappinessParameterMode	15	m_WaterFeeWellbeingEffect	UnityEngine.AnimationCurve	
CitizenHappinessParameterMode	16	m_HealthProblemHealthPenalty	System.Int32	
CitizenHappinessParameterMode	17	m_DeathWellbeingPenalty	System.Int32	
CitizenHappinessParameterMode	18	m_DeathHealthPenalty	System.Int32	
CitizenHappinessParameterMode	19	m_LowWellbeing	System.Int32	
CitizenHappinessParameterMode	20	m_LowHealth	System.Int32	
CitizenHappinessParameterMode	21	m_PenaltyEffect	System.Int32	
CitizenHappinessParameterMode	22	m_HomelessHealthEffect	System.Int32	
CitizenHappinessParameterMode	23	m_HomelessWellbeingEffect	System.Int32	
